category,sub_category,name,lat,lon,address,phone,operator,source_type,source_id,data_source
medical,hospital,영신문방구,36.2366514,128.3027528,,,,osm,node/368724971,manual
medical,hospital,구미아성요양병원,36.1286812,128.3069444,,,,osm,node/368830129,manual
medical,hospital,미즈여성의원피부성형클리닉,36.1291649,128.3320596,,,,osm,node/368830135,manual
medical,hospital,도담한의원,36.1134285,128.3653422,,,,osm,node/368830142,manual
medical,hospital,해산한의원,36.106166,128.419659,,,,osm,node/368830143,manual
medical,hospital,구미시립노인요양병원,36.1534917,128.2902477,,,,osm,node/368830160,manual
medical,hospital,다빈치,36.108209,128.418204,,,,osm,node/368830167,manual
medical,hospital,우먼뷰티클럽,36.1249833,128.3461823,,,,osm,node/368830241,manual
medical,hospital,다미인피부비만,36.144458,128.310353,,,,osm,node/368830243,manual
medical,hospital,준오뷰티클럽,36.105731,128.420479,,,,osm,node/368830253,manual
medical,hospital,건강미인,36.1251096,128.3461895,,,,osm,node/368830262,manual
medical,hospital,자우버피부비만관리실,36.0869054,128.3512088,,,,osm,node/368830268,manual
medical,hospital,구미시선산보건소,36.24425,128.299577,,,,osm,node/368830276,manual
medical,hospital,아름다운화이트치과,36.10723,128.41896,,,,osm,node/368830304,manual
medical,hospital,도철호치과의원,36.10254,128.38502,,,,osm,node/368830356,manual
medical,hospital,인동모아치과,36.10689,128.41925,,,,osm,node/368830418,manual
medical,hospital,현대재활의학과의원,36.129839,128.330084,,,,osm,node/368830535,manual
medical,hospital,샛별소아과의원,36.087941,128.355606,,,,osm,node/368830584,manual
medical,hospital,김옥배정형의과,36.1491147,128.3113188,,,,osm,node/368830591,manual
medical,hospital,명정카이로프락틱교정원,36.112739,128.33991,,,,osm,node/368830602,manual
medical,hospital,김홍조외과의원,36.130483,128.331743,,,,osm,node/368830607,manual
medical,hospital,라파엘외과,36.092471,128.435634,,,,osm,node/368830608,manual
medical,hospital,동산외과의원,36.24133,128.302659,,,,osm,node/368830612,manual
medical,hospital,건강한소아과의원,36.239968,128.303099,,,,osm,node/368830620,manual
medical,hospital,현대피부과의원,36.1279509,128.3341546,,,,osm,node/368830621,manual
medical,hospital,조내과의원,36.114906,128.332132,,,,osm,node/368830629,manual
medical,hospital,신인석외과의원,36.122378,128.363295,,,,osm,node/368830631,manual
medical,hospital,행복한산부인과의원,36.106626,128.41955,,,,osm,node/368830639,manual
medical,hospital,서피부비뇨기과,36.108633,128.423016,,,,osm,node/368830642,manual
medical,hospital,김두환내과의원,36.1251337,128.3461504,,,,osm,node/368830650,manual
medical,hospital,건우산부인과,36.1288642,128.3317661,,,,osm,node/368830654,manual
medical,hospital,서비뇨기과,36.108633,128.423016,,,,osm,node/368830663,manual
medical,hospital,탑정형외과연합의원,36.137013,128.416768,,,,osm,node/368830665,manual
medical,hospital,현상훈내과,36.093014,128.43255,,,,osm,node/368830673,manual
medical,hospital,상모의원,36.089294,128.355412,,,,osm,node/368830677,manual
medical,hospital,산동의원,36.1686663,128.4362309,,,,osm,node/368830682,manual
medical,hospital,김송외과의원,36.1068033,128.3373905,,,,osm,node/368830688,manual
medical,hospital,구미정형외과,36.1250946,128.3461236,,,,osm,node/368830691,manual
medical,hospital,진안과의원,36.1287682,128.3321683,,,,osm,node/368830696,manual
medical,hospital,동산제통의원,36.107581,128.422377,,,,osm,node/368830704,manual
medical,hospital,영남제통의원,36.129681,128.328261,,,,osm,node/368830714,manual
medical,hospital,에스피부과,36.0939172,128.432473,,,,osm,node/368830719,manual
medical,hospital,정가정의학과의원,36.10584,128.420302,,,,osm,node/368830720,manual
medical,hospital,한민내과,36.130842,128.3324,,,,osm,node/368830724,manual
medical,hospital,제일신경외과의원,36.107034,128.421652,,,,osm,node/368830727,manual
medical,hospital,구미정신과의원,36.1173889,128.3442861,,,,osm,node/368830737,manual
medical,hospital,강심내과,36.1147321,128.3386557,,,,osm,node/368830744,manual
medical,hospital,신세계내과의원,36.0930137,128.432546,,,,osm,node/368830756,manual
medical,hospital,인동정형외과,36.097809,128.427689,,,,osm,node/368830760,manual
medical,hospital,연세소아과의원,36.089006,128.354978,,,,osm,node/368830771,manual
medical,hospital,성피부과의원,36.130842,128.3324,,,,osm,node/368830788,manual
medical,hospital,경북외과의원,36.241181,128.301279,,,,osm,node/368830790,manual
medical,hospital,이용원내과,36.1288357,128.3318299,,,,osm,node/368830799,manual
medical,hospital,세명영상의학과,36.114678,128.363848,,,,osm,node/368830802,manual
medical,hospital,대성외과의원,36.151318,128.330252,,,,osm,node/368830813,manual
medical,hospital,선산성모정형외과,36.2452048,128.2965004,,,,osm,node/368830814,manual
medical,hospital,활법척추교정원,36.0968127,128.3607252,,,,osm,node/368830831,manual
medical,hospital,보성외과,36.130842,128.3324,,,,osm,node/368830833,manual
medical,hospital,황종현내과,36.114148,128.338761,,,,osm,node/368830842,manual
medical,hospital,대산외과의원,36.130842,128.3324,,,,osm,node/368830843,manual
medical,hospital,한림외과의원,36.116449,128.425469,,,,osm,node/368830847,manual
medical,hospital,신통외과의원,36.130583,128.328243,,,,osm,node/368830851,manual
medical,hospital,이상식산부인과,36.1249517,128.3461504,,,,osm,node/368830852,manual
medical,hospital,수이비인후과의원,36.087292,128.355681,,,,osm,node/368830856,manual
medical,hospital,이경수내과,36.108185,128.422414,,,,osm,node/368830862,manual
medical,hospital,활기원,36.120243,128.353619,,,,osm,node/368830866,manual
medical,hospital,구미제이스성형외과의원,36.1251038,128.346243,,,,osm,node/368830869,manual
medical,hospital,라피아의원,36.1134978,128.3653341,,,,osm,node/368830875,manual
medical,hospital,경북정형외과의원,36.1220544,128.3502011,,,,osm,node/368830880,manual
medical,hospital,조피비뇨기과,36.1287928,128.3321025,,,,osm,node/368830882,manual
medical,hospital,밝은안과의원,36.130842,128.3324,,,,osm,node/368830902,manual
medical,hospital,여원산부인과,36.108633,128.423016,,,,osm,node/368830903,manual
medical,hospital,한일산부인과,36.1250445,128.3461637,,,,osm,node/368830912,manual
medical,hospital,건우웰빙의원,36.1289043,128.3318143,,,,osm,node/368830914,manual
medical,hospital,중앙내과의원,36.1070442,128.3357806,,,,osm,node/368830921,manual
medical,hospital,옥계내과,36.138501,128.416409,,,,osm,node/368830924,manual
medical,hospital,조용훈소아과의원,36.093806,128.432909,,,,osm,node/368830933,manual
medical,hospital,신평내과의원,36.123623,128.362934,,,,osm,node/368830935,manual
medical,hospital,가정의원,36.1522298,128.3326124,,,,osm,node/368830943,manual
medical,hospital,김탁관내과의원,36.15009,128.330925,,,,osm,node/368830957,manual
medical,hospital,하나소아과,36.1504574,128.3308945,,,,osm,node/368830964,manual
medical,hospital,임종우내과,36.125906,128.337434,,,,osm,node/368830967,manual
medical,hospital,하나가정의약과의원,36.1469616,128.4164208,,,,osm,node/368830976,manual
medical,hospital,김옥배정형외과,36.1490819,128.3112575,,,,osm,node/368830977,manual
medical,hospital,푸른가정의학과의원,36.0923553,128.4332975,,,,osm,node/368830986,manual
medical,hospital,한빛이비인후과,36.108111,128.422946,,,,osm,node/368830989,manual
medical,hospital,이정수이비인후과의원,36.122587,128.350708,,,,osm,node/368830997,manual
medical,hospital,삼성이비인후과,36.146842,128.41822,,,,osm,node/368830999,manual
medical,hospital,이만진이비인후과의원,36.1251102,128.3460971,,,,osm,node/368831007,manual
medical,hospital,가톨릭이비인후과의원,36.1138727,128.3396442,,,,osm,node/368831008,manual
medical,hospital,산동의원원장댁,36.169162,128.430257,,,,osm,node/368831017,manual
medical,hospital,중앙이비인후과의원,36.1287171,128.3321344,,,,osm,node/368831019,manual
medical,hospital,새빛가정의학과의원,36.0974687,128.3587475,,,,osm,node/368831024,manual
medical,hospital,박정돈산부인과,36.122243,128.363216,,,,osm,node/368831042,manual
medical,hospital,황상가정의학과의원,36.117497,128.427163,,,,osm,node/368831044,manual
medical,hospital,한사랑안과의원,36.108633,128.423016,,,,osm,node/368831053,manual
medical,hospital,구영두신경외과,36.125112,128.340731,,,,osm,node/368831054,manual
medical,hospital,안재소아과의원,36.117007,128.425716,,,,osm,node/368831065,manual
medical,hospital,순천향소아과의원,36.121351,128.374622,,,,osm,node/368831066,manual
medical,hospital,카톨릭피부과의원,36.1300299,128.3320416,,,,osm,node/368831074,manual
medical,hospital,유영상신경외과의원,36.130657,128.330788,,,,osm,node/368831076,manual
medical,hospital,구미제통의원,36.1271019,128.3348066,,,,osm,node/368831080,manual
medical,hospital,홍이비인후과의원,36.1281239,128.3333556,,,,osm,node/368831090,manual
medical,hospital,조은I의원,36.151093,128.310068,,,,osm,node/368831107,manual
medical,hospital,가톨릭내과의원,36.1251536,128.3461154,,,,osm,node/368831108,manual
medical,hospital,해피맘소아과의원,36.114308,128.339673,,,,osm,node/368831128,manual
medical,hospital,권가정의학과의원,36.08621,128.355787,,,,osm,node/368831141,manual
medical,hospital,이성근가정의학과의원,36.116311,128.338826,,,,osm,node/368831142,manual
medical,hospital,이수환외과의원,36.095486,128.358484,,,,osm,node/368831157,manual
medical,hospital,성모외과의원,36.1016909,128.3831611,,,,osm,node/368831158,manual
medical,hospital,큰나무정형외과,36.108778,128.422906,,,,osm,node/368831164,manual
medical,hospital,조건희안과의원,36.125142,128.3460475,,,,osm,node/368831165,manual
medical,hospital,이동익이비인후과,36.0925563,128.4323564,,,,osm,node/368831171,manual
medical,hospital,(재단)새생명재단(행복의원),36.23985,128.300105,,,,osm,node/368831173,manual
medical,hospital,박피부비뇨기과의원,36.1250298,128.3460959,,,,osm,node/368831177,manual
medical,hospital,세란산부인과,36.1249833,128.3460413,,,,osm,node/368831185,manual
medical,hospital,박종근산부인과,36.1220861,128.3501337,,,,osm,node/368831192,manual
medical,hospital,류외과의원,36.12495,128.3462265,,,,osm,node/368831193,manual
medical,hospital,지앤미피부비뇨기과의원,36.1131389,128.3388188,,,,osm,node/368831198,manual
medical,hospital,인동피부비뇨기과,36.106626,128.41955,,,,osm,node/368831205,manual
medical,hospital,더블유의원,36.106166,128.419659,,,,osm,node/368831211,manual
medical,hospital,열린마음정신과의원,36.1287403,128.3320712,,,,osm,node/368831217,manual
medical,hospital,장신경정신과의원,36.1250439,128.3461957,,,,osm,node/368831221,manual
medical,hospital,노엘피부과,36.137354,128.417125,,,,osm,node/368831225,manual
medical,hospital,믿음터의원,36.12874,128.41618,,,,osm,node/368831232,manual
medical,hospital,카톨릭피부과의원,36.130083,128.3319542,,,,osm,node/368831260,manual
medical,hospital,코엔아이의원,36.109038,128.366077,,,,osm,node/368831269,manual
medical,hospital,민제한의원,36.123669,128.362612,,,,osm,node/368831276,manual
medical,hospital,베데스다언어크리닉,36.1111599,128.3402744,,,,osm,node/368831291,manual
medical,hospital,신세계한의원,36.106458,128.426403,,,,osm,node/368831298,manual
medical,hospital,참소중한언어치료센타,36.1009344,128.3851426,,,,osm,node/368831323,manual
medical,hospital,공단한의원,36.1016894,128.3830452,,,,osm,node/368831356,manual
medical,hospital,해평한의원,36.198455,128.391628,,,,osm,node/368831368,manual
medical,hospital,광동한의원,36.0935009,128.4326972,,,,osm,node/368831398,manual
medical,hospital,참사랑의원,36.210175,128.32802,,,,osm,node/368831409,manual
medical,hospital,고아읍보건지소,36.210489,128.328544,,,,osm,node/368831428,manual
medical,hospital,황상한의원,36.117452,128.427052,,,,osm,node/368831435,manual
medical,hospital,선산중앙의원,36.239699,128.302463,,,,osm,node/368831454,manual
medical,hospital,신평한의원,36.123796,128.362412,,,,osm,node/368831470,manual
medical,hospital,에바다언어치료실,36.0941756,128.4352288,,,,osm,node/368831479,manual
medical,hospital,옥성보건지소,36.295373,128.278305,,,,osm,node/368831481,manual
medical,hospital,소나무한의원,36.108443,128.423226,,,,osm,node/368831499,manual
medical,hospital,가톨릭의원,36.2395714,128.3032976,,,,osm,node/368831521,manual
medical,hospital,인동한의원,36.107098,128.421208,,,,osm,node/368831531,manual
medical,hospital,구봉보건진료소,36.3461202,128.2753627,,,,osm,node/368831534,manual
medical,hospital,해평보건지소,36.197651,128.392079,,,,osm,node/368831542,manual
medical,hospital,김재원한의원,36.089624,128.353259,,,,osm,node/368831546,manual
medical,hospital,누가한의원,36.1204999,128.3709806,,,,osm,node/368831553,manual
medical,hospital,산동보건지소,36.169162,128.430257,,,,osm,node/368831557,manual
medical,hospital,성심의원,36.1290061,128.3313931,,,,osm,node/368831569,manual
medical,hospital,청송한의원,36.130842,128.3324,,,,osm,node/368831572,manual
medical,hospital,소망한의원,36.114764,128.425071,,,,osm,node/368831583,manual
medical,hospital,경희한의원,36.120737,128.363465,,,,osm,node/368831593,manual
medical,hospital,인동보건지소,36.106104,128.4190282,,,,osm,node/368831603,manual
medical,hospital,대방보건진료소,36.193228,128.28656,,,,osm,node/368831605,manual
medical,hospital,금산보건진료소,36.160463,128.518811,,,,osm,node/368831622,manual
medical,hospital,에바다언어치료실,36.1112017,128.3401586,,,,osm,node/368831625,manual
medical,hospital,고려한의원,36.130842,128.3324,,,,osm,node/368831632,manual
medical,hospital,에바다언어치료실,36.08079,128.37434,,,,osm,node/368831639,manual
medical,hospital,동방한의원,36.239691,128.302274,,,,osm,node/368831640,manual
medical,hospital,다곡보건진료소,36.286889,128.368523,,,,osm,node/368831643,manual
medical,hospital,연악보건진료소,36.271155,128.159593,,,,osm,node/368831649,manual
medical,hospital,덕촌보건진료소,36.264133,128.253551,,,,osm,node/368831654,manual
medical,hospital,가족사랑한의원,36.093806,128.432909,,,,osm,node/368831662,manual
medical,hospital,가산보건진료소,36.324842,128.295464,,,,osm,node/368831669,manual
medical,hospital,도개보건지소,36.299256,128.331813,,,,osm,node/368831679,manual
medical,hospital,낙산보건진료소,36.253264,128.354977,,,,osm,node/368831681,manual
medical,hospital,구운보건진료소,36.168923,128.367045,,,,osm,node/368831688,manual
medical,hospital,장천보건지소,36.125791,128.496694,,,,osm,node/368831693,manual
medical,hospital,조한의원,36.130842,128.3324,,,,osm,node/368831697,manual
medical,hospital,명성한의원,36.138948,128.417401,,,,osm,node/368831705,manual
medical,hospital,가족사랑한의원,36.122378,128.363295,,,,osm,node/368831708,manual
medical,hospital,배한의원,36.092555,128.432358,,,,osm,node/368831725,manual
medical,hospital,김영준한의원,36.115522,128.425064,,,,osm,node/368831737,manual
medical,hospital,장천한의원의료,36.1267322,128.4947077,,,,osm,node/368831744,manual
medical,hospital,바른등힘찬어깨한의원,36.108185,128.422414,,,,osm,node/368831746,manual
medical,hospital,청룡한의원,36.146797,128.41802,,,,osm,node/368831761,manual
medical,hospital,정우한의원,36.2400207,128.3043149,,,,osm,node/368831783,manual
medical,hospital,예인당한의원,36.0930147,128.4325449,,,,osm,node/368831791,manual
medical,hospital,임봉보건진료소,36.1394867,128.4595475,,,,osm,node/368831794,manual
medical,hospital,상모한의원,36.089006,128.354978,,,,osm,node/368831804,manual
medical,hospital,서부보건진료소,36.215189,128.244572,,,,osm,node/368831811,manual
medical,hospital,무을보건지소,36.262292,128.203115,,,,osm,node/368831815,manual
medical,hospital,송백보건진료소,36.218639,128.479629,,,,osm,node/368831820,manual
medical,hospital,수림한의원,36.121435,128.340659,,,,osm,node/368831823,manual
medical,hospital,서울웰빙의원,36.138195,128.416341,,,,osm,node/368831833,manual
medical,hospital,혜민의원,36.095486,128.358484,,,,osm,node/368831837,manual
medical,hospital,고아보건지소,36.210489,128.328544,,,,osm,node/368831843,manual
medical,hospital,제일연합의원,36.121705,128.379657,,,,osm,node/368831853,manual
medical,hospital,제일의원,36.24108,128.301835,,,,osm,node/368831855,manual
medical,hospital,삼성의원,36.1241065,128.361695,,,,osm,node/368831864,manual
medical,hospital,다원한약국,36.106458,128.426403,,,,osm,node/368831876,manual
medical,hospital,광명당한의원,36.08621,128.355787,,,,osm,node/368831877,manual
medical,hospital,느티나무한의원,36.0937313,128.4328242,,,,osm,node/368831886,manual
medical,hospital,태을양생한의원,36.112694,128.424249,,,,osm,node/368831888,manual
medical,hospital,신세계의원,36.195069,128.393156,,,,osm,node/368831894,manual
medical,hospital,대구한의대학교부속 구미한방병원,36.11718,128.347006,,,,osm,node/368831907,manual
medical,hospital,세종인테리어,36.094727,128.427561,,,,osm,node/368831913,manual
medical,hospital,포천중문의대부속구미차병원,36.114368,128.340584,,,,osm,node/368831928,manual
medical,hospital,신세계푸드구미차병원,36.114368,128.340584,,,,osm,node/368831934,manual
medical,hospital,구미차병원,36.114368,128.340584,,,,osm,node/368831951,manual
medical,hospital,길요양병원장례식장,36.102389,128.359115,,,,osm,node/368831955,manual
medical,hospital,선산제일병원장례식장,36.217022,128.316136,,,,osm,node/368831962,manual
medical,hospital,하늘정원,36.078411,128.353431,,,,osm,node/368831981,manual
medical,hospital,청소대장,36.072036,128.365949,,,,osm,node/368831987,manual
medical,hospital,컴퓨터병원,36.090456,128.355651,,,,osm,node/368831991,manual
medical,hospital,구미 차병원(CHA Hospital at Gumi),36.1146437,128.340631,,,,osm,node/1722909149,manual
medical,hospital,옥계정형외과,36.1680613,128.4376871,경상북도 구미시 강동로 999-4,+82 54 476 9112,,osm,node/4629462837,manual
medical,hospital,쉬즈산부인과,36.1064239,128.3636209,,,,osm,node/4648282431,manual
medical,hospital,신평정형외과의원,36.1221231,128.3630356,,,,osm,node/4663287699,manual
medical,hospital,대한내과,36.1307414,128.3224269,,,,osm,node/4703499624,manual
medical,hospital,무을보건지소,36.2608795,128.1989746,,,,osm,node/10673274797,manual
medical,hospital,문성정형외과,36.1614221,128.3440231,,,,osm,node/13484159907,manual
medical,hospital,구미강동병원,36.0960633,128.4226833,,,,osm,way/370305236,manual
