category,sub_category,name,lat,lon,address,phone,operator,osm_type,osm_id,data_source
medical,hospital,한림외과의원,36.116449,128.425469,,,,node,368830847,manual
medical,hospital,신통외과의원,36.130583,128.328243,,,,node,368830851,manual
medical,hospital,이상식산부인과,36.1249517,128.3461504,,,,node,368830852,manual
medical,hospital,수이비인후과의원,36.087292,128.355681,,,,node,368830856,manual
medical,hospital,이경수내과,36.108185,128.422414,,,,node,368830862,manual
medical,hospital,활기원,36.120243,128.353619,,,,node,368830866,manual
medical,hospital,구미제이스성형외과의원,36.1251038,128.346243,,,,node,368830869,manual
medical,hospital,라피아의원,36.1134978,128.3653341,,,,node,368830875,manual
medical,hospital,경북정형외과의원,36.1220544,128.3502011,,,,node,368830880,manual
medical,hospital,조피비뇨기과,36.1287928,128.3321025,,,,node,368830882,manual
medical,hospital,밝은안과의원,36.130842,128.3324,,,,node,368830902,manual
medical,hospital,여원산부인과,36.108633,128.423016,,,,node,368830903,manual
medical,hospital,한일산부인과,36.1250445,128.3461637,,,,node,368830912,manual
medical,hospital,건우웰빙의원,36.1289043,128.3318143,,,,node,368830914,manual
medical,hospital,중앙내과의원,36.1070442,128.3357806,,,,node,368830921,manual
medical,hospital,옥계내과,36.138501,128.416409,,,,node,368830924,manual
medical,hospital,조용훈소아과의원,36.093806,128.432909,,,,node,368830933,manual
medical,hospital,신평내과의원,36.123623,128.362934,,,,node,368830935,manual
medical,hospital,가정의원,36.1522298,128.3326124,,,,node,368830943,manual
medical,hospital,김탁관내과의원,36.15009,128.330925,,,,node,368830957,manual
medical,hospital,하나소아과,36.1504574,128.3308945,,,,node,368830964,manual
medical,hospital,임종우내과,36.125906,128.337434,,,,node,368830967,manual
medical,hospital,하나가정의약과의원,36.1469616,128.4164208,,,,node,368830976,manual
medical,hospital,김옥배정형외과,36.1490819,128.3112575,,,,node,368830977,manual
medical,hospital,푸른가정의학과의원,36.0923553,128.4332975,,,,node,368830986,manual
medical,hospital,한빛이비인후과,36.108111,128.422946,,,,node,368830989,manual
medical,hospital,이정수이비인후과의원,36.122587,128.350708,,,,node,368830997,manual
medical,hospital,삼성이비인후과,36.146842,128.41822,,,,node,368830999,manual
medical,hospital,이만진이비인후과의원,36.1251102,128.3460971,,,,node,368831007,manual
medical,hospital,가톨릭이비인후과의원,36.1138727,128.3396442,,,,node,368831008,manual
medical,hospital,산동의원원장댁,36.169162,128.430257,,,,node,368831017,manual
medical,hospital,중앙이비인후과의원,36.1287171,128.3321344,,,,node,368831019,manual
medical,hospital,새빛가정의학과의원,36.0974687,128.3587475,,,,node,368831024,manual
medical,hospital,박정돈산부인과,36.122243,128.363216,,,,node,368831042,manual
medical,hospital,황상가정의학과의원,36.117497,128.427163,,,,node,368831044,manual
medical,hospital,한사랑안과의원,36.108633,128.423016,,,,node,368831053,manual
medical,hospital,구영두신경외과,36.125112,128.340731,,,,node,368831054,manual
medical,hospital,안재소아과의원,36.117007,128.425716,,,,node,368831065,manual
medical,hospital,순천향소아과의원,36.121351,128.374622,,,,node,368831066,manual
medical,hospital,카톨릭피부과의원,36.1300299,128.3320416,,,,node,368831074,manual
medical,hospital,유영상신경외과의원,36.130657,128.330788,,,,node,368831076,manual
medical,hospital,구미제통의원,36.1271019,128.3348066,,,,node,368831080,manual
medical,hospital,홍이비인후과의원,36.1281239,128.3333556,,,,node,368831090,manual
medical,hospital,조은I의원,36.151093,128.310068,,,,node,368831107,manual
