category,sub_category,name,lat,lon,address,phone,operator,source_type,source_id,data_source
education,school,도량초등학교,36.1444141,128.3201146,,,,osm,way/967057311,manual
education,school,원남초등학교,36.1291239,128.3215667,원남로 12-50,,,osm,way/1120918645,manual
education,school,금오초등학교,36.1239516,128.3346613,,,,osm,way/1120918699,manual
education,school,덕촌초등학교,36.2626502,128.2542519,,,,osm,way/1376640014,manual
education,school,무을중학교,36.258973,128.189866,,,,osm,way/1415868674,manual
education,school,형일초등학교,36.1144931,128.329951,,,,osm,way/1421444221,manual
education,school,산동초등학교,36.1669737,128.4463227,,,,osm,way/1442790870,manual
education,school,구미봉곡초등학교,36.1534563,128.3039642,,,,osm,way/1444245605,manual
education,school,도개초등학교,36.300325,128.3312777,,,,osm,way/1457127352,manual
education,school,도개고등학교,36.3013078,128.330695,,,,osm,way/1457127353,manual
education,school,도개중학교,36.3014005,128.3319045,,,,osm,way/1457127354,manual
education,school,해평초등학교,36.2031858,128.3911278,,,,osm,way/1469745250,manual
education,school,구미문성중학교,36.1541677,128.3436462,,,,osm,way/1470286392,manual
education,school,상모고등학교,36.084238,128.3518151,경상북도 구미시 박정희로 60-22,,,osm,way/1484289364,manual
education,school,정수초등학교,36.0903191,128.3515293,경상북도 구미시 박정희로 120,,,osm,way/1484289367,manual
education,school,사곡고등학교,36.096553,128.3527104,경상북도 구미시 박정희로 195,,,osm,way/1484289375,manual
education,school,산동중학교,36.1688948,128.4395609,,,,osm,way/1495037448,manual
education,school,송정여자중학교,36.113313,128.3480862,경상북도 구미시 송정대로6길 72-12,,,osm,way/1509390907,manual
education,school,송정초등학교,36.1139968,128.3485515,경상북도 구미시 송정대로6길 72-6,,,osm,way/1509390908,manual
education,school,인동중학교,36.108936,128.428438,,,,osm,relation/8490722,manual
