category,sub_category,name,lat,lon,address,phone,operator,source_type,source_id,data_source
transport,bus_stop,괴곡2리(문양리방면),36.17770862,128.4080171,,,,gumi_opendata_xlsx,57,gumi_opendata
transport,bus_stop,괴곡3거리,36.16706951,128.415797,,,,gumi_opendata_xlsx,58,gumi_opendata
transport,bus_stop,괴곡3거리(괴곡1리방면),36.16834425,128.4153566,,,,gumi_opendata_xlsx,60,gumi_opendata
transport,bus_stop,괴평,36.17130735,128.3726668,,,,gumi_opendata_xlsx,61,gumi_opendata
transport,bus_stop,괴평무지개아파트건너,36.16966569,128.3675856,,,,gumi_opendata_xlsx,62,gumi_opendata
transport,bus_stop,괴평무지개아파트앞,36.16895773,128.3677771,,,,gumi_opendata_xlsx,63,gumi_opendata
transport,bus_stop,송천4리입구,36.14921124,128.2835441,,,,gumi_opendata_xlsx,64,gumi_opendata
transport,bus_stop,구미대학교앞,36.14881246,128.289086,,,,gumi_opendata_xlsx,65,gumi_opendata
transport,bus_stop,송천4리입구건너,36.14925036,128.283611,,,,gumi_opendata_xlsx,66,gumi_opendata
transport,bus_stop,구미대학교건너,36.14970546,128.2863379,,,,gumi_opendata_xlsx,67,gumi_opendata
transport,bus_stop,구미남고앞,36.1374931,128.3324294,,,,gumi_opendata_xlsx,68,gumi_opendata
transport,bus_stop,구미남고건너,36.13790165,128.3321461,,,,gumi_opendata_xlsx,69,gumi_opendata
transport,bus_stop,구미레미콘건너,36.0881293,128.4105021,,,,gumi_opendata_xlsx,70,gumi_opendata
transport,bus_stop,구미레미콘앞,36.08782024,128.4107811,,,,gumi_opendata_xlsx,71,gumi_opendata
transport,bus_stop,축산물 유통센터건너,36.13029239,128.309179,,,,gumi_opendata_xlsx,72,gumi_opendata
transport,bus_stop,구미가톨릭요양병원,36.13469703,128.3349366,,,,gumi_opendata_xlsx,73,gumi_opendata
transport,bus_stop,구미세무서앞,36.11109129,128.3835073,,,,gumi_opendata_xlsx,74,gumi_opendata
transport,bus_stop,구미세무서건너,36.11077564,128.3830868,,,,gumi_opendata_xlsx,75,gumi_opendata
transport,bus_stop,구미여고,36.14460079,128.3311962,,,,gumi_opendata_xlsx,76,gumi_opendata
transport,bus_stop,구미여중건너,36.12374387,128.3267747,,,,gumi_opendata_xlsx,77,gumi_opendata
transport,bus_stop,구미여중앞,36.1239726,128.3267569,,,,gumi_opendata_xlsx,78,gumi_opendata
transport,bus_stop,구미역(중앙시장),36.12962183,128.3298341,,,,gumi_opendata_xlsx,79,gumi_opendata
transport,bus_stop,구미역,36.12963461,128.3293215,,,,gumi_opendata_xlsx,80,gumi_opendata
transport,bus_stop,구미역(김천행),36.130215,128.328432,,,,gumi_opendata_xlsx,81,gumi_opendata
transport,bus_stop,구미역(선산노선정류장),36.12953268,128.3295658,,,,gumi_opendata_xlsx,82,gumi_opendata
transport,bus_stop,구미원예공사건너,36.33052712,128.2759074,,,,gumi_opendata_xlsx,83,gumi_opendata
transport,bus_stop,구미원예공사앞,36.33012144,128.2760345,,,,gumi_opendata_xlsx,84,gumi_opendata
transport,bus_stop,구미전자공고입구,36.11118287,128.4040831,,,,gumi_opendata_xlsx,85,gumi_opendata
transport,bus_stop,구미전자정보기술원(청년창업랩),36.14083988,128.4402798,,,,gumi_opendata_xlsx,86,gumi_opendata
transport,bus_stop,구미정보여고건너,36.1092051,128.3418136,,,,gumi_opendata_xlsx,87,gumi_opendata
transport,bus_stop,구미정보여고,36.10885355,128.3414896,,,,gumi_opendata_xlsx,88,gumi_opendata
transport,bus_stop,구미종합터미널건너,36.12267599,128.3508489,,,,gumi_opendata_xlsx,89,gumi_opendata
transport,bus_stop,구미종합터미널안,36.12246136,128.3520152,,,,gumi_opendata_xlsx,90,gumi_opendata
